"Code","Message"
318,"Unable to add order for the client account: client does not have a deposit account for settlement of Money Market securities. Prohibited by Clearing Administrator."
320,"Amount of active orders exceeds the limit allowed for the client account for this security."
331,"Insufficient funds in the Settlement Account."
332,"Insufficient client funds."
333,"Insufficient Brokerage Firm funds."
334,"Insufficient Clearing Firm funds."
335,"Unable to buy: amount of securities exceeds the limit set for the client."
336,"Unable to buy: amount of securities exceeds the limit set for the Brokerage Firm."
337,"Unable to sell: amount of securities exceeds the limit set for the client."
338,"Unable to sell: amount of securities exceeds the limit set for the Brokerage Firm."
339,"Collateral recalculation in progress."
380,"Trading restricted while intraday clearing is in progress."
381,"Trading restricted while intraday clearing is in progress: cannot delete orders."
382,"Trading restricted while intraday clearing is in progress: cannot move orders."
383,"Non-trading operations restricted while intraday clearing is in progress."
400,"Incorrect request."
401,"Not authorized."
403,"Restricted. Client is not permitted to execute request."
404,"Not Found."
405,"Method is not supported."
407,"Proxy server authentication required."
409,"Conflict detected."
415,"Data type is not supported."
422,"Incorrect document body."
500,"Internal server error."
501,"Request is not implemented."
600,"Incorrect date of request."
601,"Outcoming number uniqueness violation."
602,"Unsupported request type."
603,"Incorrect UNICODE."
680,"Insufficient client funds."
681,"Insufficient Clearing Firm funds."
682,"Insufficient funds to increase position."
2000,"Unable to create SMA login: SMA login must be either of client login, or of Brokerage Firm login."
2001,"Unable to create SMA login: SMA logins must belong to trading participants."
2002,"Unable to add orders using this SMA login: the MASTER login does not belong to trading participants."
3000,"Modification and cancellation of the quote is prohibited due to Speed bump."
3001,"Reserve error code. The text will be updated later."
3002,"Reserve error code. The text will be updated later."
3003,"Reserve error code. The text will be updated later."
3004,"Reserve error code. The text will be updated later."
3005,"Reserve error code. The text will be updated later."
3006,"Reserve error code. The text will be updated later."
3007,"Reserve error code. The text will be updated later."
3008,"Reserve error code. The text will be updated later."
3009,"Reserve error code. The text will be updated later."
3010,"Reserve error code. The text will be updated later."
3011,"Reserve error code. The text will be updated later."
3012,"Reserve error code. The text will be updated later."
3013,"Reserve error code. The text will be updated later."
3014,"Reserve error code. The text will be updated later."
3015,"Reserve error code. The text will be updated later."
3016,"Reserve error code. The text will be updated later."
3017,"Reserve error code. The text will be updated later."
3018,"Reserve error code. The text will be updated later."
3019,"Reserve error code. The text will be updated later."
3020,"Reserve error code. The text will be updated later."
3021,"Reserve error code. The text will be updated later."
3022,"Reserve error code. The text will be updated later."
3023,"Reserve error code. The text will be updated later."
3024,"Reserve error code. The text will be updated later."
3025,"Reserve error code. The text will be updated later."
3026,"Reserve error code. The text will be updated later."
3027,"Reserve error code. The text will be updated later."
3028,"Reserve error code. The text will be updated later."
3029,"Reserve error code. The text will be updated later."
3030,"Reserve error code. The text will be updated later."
3031,"Reserve error code. The text will be updated later."
3032,"Reserve error code. The text will be updated later."
3033,"Reserve error code. The text will be updated later."
3034,"Reserve error code. The text will be updated later."
3035,"Reserve error code. The text will be updated later."
3036,"Reserve error code. The text will be updated later."
3037,"Reserve error code. The text will be updated later."
3038,"Reserve error code. The text will be updated later."
3039,"Reserve error code. The text will be updated later."
